TZ;VOL;%;COD;MAT;PAT
TZ030491;15,69;0,03;BUENOS AIRES 1;TB;PATIO CENTRO 2
TZ030492;261,95;0,46;339;T;ACOPIO MINEX
TZ030493;315,21;0,55;337;T;ACOPIO MINEX
TZ030494;331,42;0,58;UREÑA ;T;ACOPIO MINEX
TZ030495;206,89;0,36;24;T;LA PRADERA
TZ030496;478,36;0,83;1916;T;LA PRADERA
TZ030497;320,99;0,56;546;T;LA PRADERA
TZ030498;519,44;0,90;1091;T;LA PRADERA
TZ030499;452,69;0,79;217;T;LA PRADERA
TZ030500;306,7;0,53;203;T;LA PRADERA
TZ030501;289,6;0,50;2;T;LA PRADERA
TZ030502;184,26;0,32;668;T;LA PRADERA
TZ030503;236,41;0,41;1088;T;LA PRADERA
TZ030504;184,46;0,32;165;T;LA PRADERA
TZ030505;410,19;0,71;GUAYABO;T;PATIO BONITO
TZ030506;319,11;0,56;ORQUIDEA GUAYABO;T;PATIO BONITO
TZ030507;279,38;0,49;ORQUIDEA LEON ;T;PATIO BONITO
;57469,66;;;;
